DEP,DEPNOMBRE,MUN,MUNNOMBRE,total_votos_v1,pct_gomez_v1,pct_fico_v1,pct_petro_v1,pct_ingrid_v1,pct_johnmilton_v1,pct_luisperez_v1,pct_rodolfo_v1,pct_fajardo_v1,ganador_v1,pct_petro_v2,pct_rodolfo_v2,gano_petro,margen_victoria,total_votos_v2,cod_mpio,nombre_mpio,cobertura_acueducto,cobertura_alcantarillado,pobreza_extrema,desempeno_fiscal,pct_rural,tasa_homicidios,nbi_rural,nbi_urbano,ipm,poblacion_total
11,CAUCA,10,BUENOS AIRES,8437,0.62,16.88,52.1,0.14,4.74,0.23,9.89,3.25,petro,63.87,25.51,1,38.36,11925,11010,,,,,,,,,,,
11,CAUCA,13,CAJIBIO,10614,0.53,18.35,54.02,0.11,3.99,0.02,13.93,3.24,petro,64.44,28.38,1,36.06,14945,11013,,,,,,,,,,,
11,CAUCA,16,CALDONO,13969,0.33,8.96,76.18,0.19,1.56,0.12,7.24,1.75,petro,85.06,11.64,1,73.42,17563,11016,,,,,,,,,,,
11,CAUCA,19,CALOTO,12501,0.21,12.18,71.62,0.07,1.26,0.03,8.24,2.1,petro,79.22,16.93,1,62.29,14279,11019,,,,,,,,,,,
11,CAUCA,22,CORINTO,11438,0.22,8.76,74.1,0.14,3.5,0.03,7.79,1.66,petro,82.32,13.72,1,68.6,13547,11022,,,,,,,,,,,
11,CAUCA,25,EL TAMBO,15592,0.58,20.2,51.92,0.26,1.53,0.08,14.78,3.69,petro,65.44,27.34,1,38.1,21402,11025,,,,,,,,,,,
11,CAUCA,27,FLORENCIA,2638,0.38,9.59,75.85,0.08,0.27,,7.51,1.4,petro,81.84,14.36,1,67.48,3189,11027,,,,,,,,,,,
11,CAUCA,28,GUAPI,7542,0.17,4.95,87.93,0.04,2.08,0.03,1.83,0.66,petro,93.39,5.06,1,88.33,8160,11028,,,,,,,,,,,
11,CAUCA,29,GUACHENE,9854,0.39,9.17,76.29,0.06,1.78,0.05,4.29,1.47,petro,85.23,9.9,1,75.33,10528,11029,,,,,,,,,,,
11,CAUCA,31,INZA,10275,0.22,11.27,71.92,0.09,0.69,0.06,11.2,1.59,petro,78.37,18.97,1,59.4,11784,11031,,,,,,,,,,,
11,CAUCA,34,JAMBALO,6438,0.16,1.58,91.58,0.17,2.03,0.16,1.43,0.45,petro,95.75,1.8,1,93.95,7876,11034,,,,,,,,,,,
11,CAUCA,37,LA SIERRA,4923,0.24,16.62,61.18,0.06,0.33,0.06,15.34,1.71,petro,70.39,25.27,1,45.12,5600,11037,,,,,,,,,,,
11,CAUCA,40,LA VEGA,7303,0.18,13.99,74.64,0.05,0.58,0.05,6.39,1.19,petro,80.79,17.04,1,63.75,8988,11040,,,,,,,,,,,
11,CAUCA,43,LOPEZ (MICAY),4573,0.77,7.94,82.62,0.07,0.28,0.15,3.85,1.42,petro,89.21,9.1,1,80.11,5903,11043,,,,,,,,,,,
11,CAUCA,46,MERCADERES,6552,0.18,10.12,79.37,0.06,1.3,0.02,5.33,0.58,petro,86.57,10.75,1,75.82,8100,11046,,,,,,,,,,,
11,CAUCA,49,MIRANDA,14051,0.12,10.5,73.09,0.09,1.3,0.05,8.95,1.78,petro,80.65,15.61,1,65.04,15113,11049,,,,,,,,,,,
11,CAUCA,52,MORALES,9725,0.47,16.05,56.82,0.17,5.07,0.1,13.34,2.95,petro,69.15,25.17,1,43.98,14027,11052,,,,,,,,,,,
11,CAUCA,53,PADILLA,4302,0.21,8.72,74.24,0.02,1.72,0.05,5.18,1.72,petro,82.16,12.75,1,69.41,4613,11053,,,,,,,,,,,
11,CAUCA,55,PAEZ (BELALCAZAR),11590,0.24,7.56,76.38,0.13,0.53,0.07,10.08,1.2,petro,81.81,15.02,1,66.79,13664,11055,,,,,,,,,,,
11,CAUCA,58,PATIA (EL BORDO),14709,0.18,9.59,75.33,0.09,1.1,0.03,7.78,1.46,petro,81.73,13.95,1,67.78,16428,11058,,,,,,,,,,,
11,CAUCA,60,PIAMONTE,2707,0.48,7.94,54.08,0.15,0.66,,31.62,1.22,petro,64.49,32.31,1,32.18,3089,11060,,,,,,,,,,,
11,CAUCA,61,PIENDAMO,15866,0.26,17.41,47.86,0.14,4.6,0.09,20.67,4.1,petro,62.36,32.15,1,30.21,18259,11061,,,,,,,,,,,
11,CAUCA,64,PUERTO TEJADA,21105,0.13,6.45,81.05,0.04,1.77,0.05,4.75,1.61,petro,87.31,9.01,1,78.3,22427,11064,,,,,,,,,,,
11,CAUCA,67,PURACE (COCONUCO),4683,0.19,17.42,64.68,0.17,0.47,0.02,10.66,1.94,petro,74.63,21.73,1,52.9,5680,11067,,,,,,,,,,,
11,CAUCA,70,ROSAS,4497,0.4,20.75,54.1,0.09,0.24,0.02,17.12,2.07,petro,63.94,31.88,1,32.06,5050,11070,,,,,,,,,,,
11,CAUCA,73,SAN SEBASTIAN,3119,0.22,15.87,73.84,0.1,0.38,0.03,5.26,1.25,petro,83.4,14.09,1,69.31,4132,11073,,,,,,,,,,,
11,CAUCA,76,SANTANDER DE QUILICHAO,47555,0.24,13.53,61.96,0.14,3.89,0.06,11.93,2.69,petro,73.69,20.87,1,52.82,54302,11076,,,,,,,,,,,
11,CAUCA,79,SANTA ROSA,1943,0.05,12.04,70.46,,0.31,0.1,13.23,1.24,petro,75.56,22.18,1,53.38,2259,11079,,,,,,,,,,,
11,CAUCA,82,SILVIA,13685,0.26,7.31,77.73,0.11,2.08,0.08,6.86,1.74,petro,86.89,10.11,1,76.78,16931,11082,,,,,,,,,,,
11,CAUCA,85,SOTARA (PAISPAMBA),3918,0.38,16.85,62.17,0.08,0.41,0.05,13.09,1.76,petro,71.21,24.6,1,46.61,4422,11085,,,,,,,,,,,
11,CAUCA,86,SUCRE,3210,,4.52,90.84,0.03,0.16,,2.49,0.53,petro,94.24,4.34,1,89.9,4198,11086,,,,,,,,,,,
11,CAUCA,87,SUAREZ,8042,0.22,12.51,65.16,0.05,3.54,0.06,9.67,1.79,petro,71.84,19.72,1,52.12,12131,11087,,,,,,,,,,,
11,CAUCA,88,TIMBIO,15849,0.14,18.25,54.74,0.11,1.12,0.01,18.49,2.43,petro,66.01,29.03,1,36.98,17596,11088,,,,,,,,,,,
11,CAUCA,91,TIMBIQUI,7437,0.11,1.68,95.15,0.08,0.13,,1.29,0.46,petro,98.36,1.25,1,97.11,8777,11091,,,,,,,,,,,
11,CAUCA,94,TORIBIO,13515,0.22,2.6,90.87,0.09,1.35,0.05,2.26,0.84,petro,93.19,4.2,1,88.99,16037,11094,,,,,,,,,,,
11,CAUCA,97,TOTORO,6299,0.3,8.94,78.5,0.13,1.06,0.05,6.29,1.75,petro,85.79,11.93,1,73.86,7880,11097,,,,,,,,,,,
11,CAUCA,98,VILLA RICA,9717,0.17,6.34,81.13,0.02,1.84,0.06,4.53,1.38,petro,87.98,8.54,1,79.44,10288,11098,,,,,,,,,,,
12,CESAR,1,VALLEDUPAR,170027,0.14,22.07,47.65,0.05,1.45,0.03,24.21,1.74,petro,57.43,39.57,1,17.86,184127,12001,,,,,,,,,,,
12,CESAR,75,AGUACHICA,42868,0.17,14.21,25.98,0.04,2.99,0.03,52.61,1.45,rodolfo,33.46,63.54,0,-30.08,44821,12075,,,,,,,,,,,
12,CESAR,150,AGUSTIN CODAZZI,22943,0.24,19.71,48.25,0.05,2.49,0.02,23.71,2.88,petro,58.97,38.29,1,20.68,25508,12150,,,,,,,,,,,
12,CESAR,170,ASTREA,6994,0.21,32.28,41.76,0.03,0.97,0.04,21.6,1.16,petro,47.26,51.07,0,-3.81,7545,12170,,,,,,,,,,,
12,CESAR,180,BECERRIL,7320,0.16,10.63,61.28,0.05,0.9,0.01,22.9,1.17,petro,69.12,28.35,1,40.77,8637,12180,,,,,,,,,,,
12,CESAR,200,BOSCONIA,14704,0.23,16.57,46.85,0.05,0.85,0.02,32.12,1.05,petro,58.44,39.19,1,19.25,16064,12200,,,,,,,,,,,
12,CESAR,225,CURUMANI,14124,0.28,13.76,46.33,0.07,1.74,0.03,33.86,1.31,petro,53.85,43.26,1,10.59,15862,12225,,,,,,,,,,,
