DEP,DEPNOMBRE,MUN,MUNNOMBRE,total_votos_v1,pct_gomez_v1,pct_fico_v1,pct_petro_v1,pct_ingrid_v1,pct_johnmilton_v1,pct_luisperez_v1,pct_rodolfo_v1,pct_fajardo_v1,ganador_v1,pct_petro_v2,pct_rodolfo_v2,gano_petro,margen_victoria,total_votos_v2,cod_mpio,nombre_mpio,cobertura_acueducto,cobertura_alcantarillado,pobreza_extrema,desempeno_fiscal,pct_rural,tasa_homicidios,nbi_rural,nbi_urbano,ipm,poblacion_total,cod_dep_dnp
23,NARIÑO,123,SAN PEDRO DE CARTAGO,2938,0.14,16.61,43.77,0.07,0.58,0.03,32.16,2.18,petro,52.12,41.95,1,10.17,3588,52694,San Pedro de Cartago,31.01,12.64,6.91,63.82,87.21,0.0,23.58,8.93,54.6,6262.0,52.0
23,NARIÑO,124,SAN PABLO,6769,0.06,7.18,84.4,0.01,0.68,,4.48,0.9,petro,89.1,8.89,1,80.21,8267,13670,San Pablo,75.14,50.89,6.91,55.81,18.85,91.6,59.56,32.87,54.0,28837.0,13.0
23,NARIÑO,125,SANTA BARBARA (ISCUANDE),2079,1.06,6.73,80.9,0.19,1.39,0.05,5.63,1.35,petro,89.07,9.42,1,79.65,2929,,,,,,,,,,,,,
23,NARIÑO,127,SANTACRUZ (GUACHAVES),3998,0.35,5.0,86.09,0.08,0.4,0.1,5.03,0.78,petro,91.87,6.62,1,85.25,5032,,,,,,,,,,,,,
23,NARIÑO,130,SAPUYES,3079,0.1,17.96,65.25,0.03,0.13,,9.97,3.18,petro,77.01,20.01,1,57.0,3923,52720,Sapuyes,89.48,42.99,6.91,65.2,79.7,13.83,19.95,40.0,43.0,6885.0,52.0
23,NARIÑO,133,TAMINANGO,7953,0.06,8.1,86.36,0.01,0.06,,2.87,0.67,petro,89.77,8.64,1,81.13,9661,52786,Taminango,78.83,45.7,6.91,65.49,76.59,22.35,16.69,12.66,36.1,18504.0,52.0
23,NARIÑO,136,TANGUA,4936,0.24,14.51,67.46,0.06,0.57,0.06,11.69,1.64,petro,82.26,15.62,1,66.64,6208,52788,Tangua,87.9,31.99,6.91,67.73,78.2,15.01,21.98,19.99,46.0,15211.0,52.0
23,NARIÑO,139,TUMACO,49264,0.46,21.82,58.58,0.21,1.95,0.12,9.04,2.61,petro,72.24,23.42,1,48.82,56828,,,,,,,,,,,,,
23,NARIÑO,142,TUQUERRES,19597,0.18,12.16,73.64,0.06,0.23,0.03,8.41,1.47,petro,84.99,12.22,1,72.77,23450,52838,Túquerres,77.46,48.78,6.91,68.09,59.98,13.45,20.23,7.19,32.5,50281.0,52.0
23,NARIÑO,145,YACUANQUER,5572,0.31,14.48,70.75,0.13,0.23,0.04,8.56,1.58,petro,81.99,14.56,1,67.43,6252,52885,Yacuanquer,84.7,43.96,6.91,54.91,68.45,18.26,17.28,16.53,44.2,12613.0,52.0
24,RISARALDA,1,PEREIRA,250743,0.2,25.57,35.48,0.09,1.09,0.06,28.29,5.44,petro,45.32,50.01,0,-4.69,251696,66001,Pereira,98.46,93.4,1.65,79.29,13.28,23.49,10.11,4.91,15.1,465968.0,66.0
24,RISARALDA,8,APIA,5634,0.23,25.22,21.09,0.18,0.82,0.04,43.89,3.39,rodolfo,29.74,64.59,0,-34.85,5871,66045,Apía,81.99,71.49,6.91,68.01,48.21,24.13,12.36,6.14,33.6,11148.0,66.0
24,RISARALDA,13,BALBOA,2782,0.22,18.48,25.81,0.11,0.93,0.04,47.52,2.37,rodolfo,32.54,63.05,0,-30.51,2904,19075,Balboa,46.56,28.98,6.91,69.85,76.78,87.24,17.27,27.6,47.1,24241.0,19.0
24,RISARALDA,21,BELEN DE UMBRIA,11595,0.23,22.29,20.35,0.21,0.27,0.05,48.54,2.92,rodolfo,29.91,64.52,0,-34.61,11910,66088,Belén de Umbría,84.78,71.75,6.91,69.38,41.81,19.89,18.91,7.34,35.6,22381.0,66.0
