MUNNOMBRE,DEPNOMBRE,cod_mpio,ipm,pct_rural,tasa_homicidios,cobertura_acueducto,cobertura_alcantarillado,nbi_urbano,nbi_rural,desempeno_fiscal,poblacion_total,pct_cepeda_v1,pct_oposicion_v1,pct_cepeda_v2_pred,pct_oposicion_v2_pred,gana_cepeda_pred,margen_pred,ganador_pred,zona_riesgo,quintil_ipm
LA LLANADA,NARIÑO,52385.0,33.6,49.91,15.44,73.19,56.57,15.41,22.61,61.35,6249.0,43.269342960772036,56.730657039227964,49.20203976455924,50.79796023544076,0,-1.6,Oposición,Reñido (<5%),Bajo
LA TOLA,NARIÑO,52390.0,73.9,59.67,66.95,0.54,0.34,99.58,65.51,63.58,8598.0,48.674756666436856,51.325243333563144,54.38501477503303,45.61498522496697,1,8.77,Cepeda,Moderado (5-15%),Muy alto
LA UNION,NARIÑO,52399.0,48.6,58.63,31.47,48.88,41.14,13.81,20.78,71.1,39575.0,45.80054920463403,54.19945079536597,51.31325133494076,48.68674866505924,1,2.63,Cepeda,Reñido (<5%),Alto
LEIVA,NARIÑO,52405.0,55.3,67.26,62.64,52.6,34.03,23.24,27.7,63.52,9214.0,47.414472682749626,52.585527317250374,52.628613187274944,47.371386812725056,1,5.26,Cepeda,Moderado (5-15%),Muy alto
LINARES,NARIÑO,52411.0,32.9,77.06,29.94,92.64,34.59,7.55,15.07,61.27,9627.0,45.96401303460565,54.03598696539435,52.27250723623666,47.72749276376334,0,4.55,Oposición,Reñido (<5%),Bajo
MOSQUERA,NARIÑO,25473.0,9.6,1.0,4.95,98.61,98.67,3.36,5.95,81.69,258239.0,35.65117779655998,64.34882220344002,43.33624682303461,56.66375317696539,0,-13.33,Oposición,Moderado (5-15%),Muy bajo
OLAYA HERRERA,NARIÑO,52490.0,75.9,55.21,59.45,7.96,2.12,81.64,73.07,66.22,29465.0,48.438333646752135,51.561666353247865,53.96072524829849,46.03927475170151,1,7.92,Cepeda,Moderado (5-15%),Muy alto
NARIÑO,NARIÑO,25483.0,27.8,21.01,75.7,76.47,69.15,8.23,14.34,64.42,2484.0,39.684887039486796,60.315112960513204,45.842053755295,54.157946244705,0,-8.32,Oposición,Moderado (5-15%),Bajo
OSPINA,NARIÑO,52506.0,28.9,70.55,0.0,96.04,38.87,13.08,15.53,63.54,6683.0,44.86188714379238,55.13811285620762,51.61370211397484,48.38629788602516,0,3.23,Oposición,Reñido (<5%),Bajo
POLICARPA,NARIÑO,52540.0,38.7,72.08,163.48,79.87,55.38,14.68,16.26,65.67,9324.0,46.090267465638775,53.909732534361225,51.91891378567966,48.08108621432034,1,3.84,Cepeda,Reñido (<5%),Medio
POTOSI,NARIÑO,52560.0,27.5,78.09,9.93,98.32,26.53,9.67,12.48,61.19,9793.0,45.47833763135958,54.52166236864042,52.26352856777143,47.73647143222857,0,4.53,Oposición,Reñido (<5%),Bajo
PROVIDENCIA,NARIÑO,52565.0,55.3,71.83,17.99,71.81,26.5,34.91,17.64,60.14,5246.0,47.88094201009473,52.11905798990527,53.70302895961505,46.29697104038495,1,7.41,Cepeda,Moderado (5-15%),Muy alto
PUERRES,NARIÑO,52573.0,32.7,57.17,11.96,88.61,57.79,14.81,13.31,66.26,7683.0,43.91191786591984,56.08808213408016,50.35286738690381,49.64713261309619,0,0.71,Oposición,Reñido (<5%),Bajo
PUPIALES,NARIÑO,52585.0,32.2,62.66,17.41,88.02,40.52,11.53,14.93,66.43,15504.0,44.41758889592523,55.58241110407477,51.01274544577556,48.98725455422444,0,2.03,Oposición,Reñido (<5%),Bajo
RICAURTE,NARIÑO,25612.0,17.5,33.03,12.98,95.41,55.01,6.47,11.03,79.57,18142.0,39.7848785744295,60.2151214255705,47.55301219501787,52.44698780498213,0,-4.89,Oposición,Reñido (<5%),Muy bajo
SAMANIEGO,NARIÑO,52678.0,47.7,64.35,108.05,72.96,34.35,11.91,32.64,69.06,27758.0,46.285933132952195,53.714066867047805,52.15852285797673,47.84147714202327,1,4.32,Cepeda,Reñido (<5%),Alto
SANDONA,NARIÑO,52683.0,28.9,47.19,30.32,97.84,60.13,12.95,15.46,64.33,19701.0,42.477483754999895,57.522516245000105,49.11489664870413,50.88510335129587,0,-1.77,Oposición,Reñido (<5%),Bajo
SAN BERNARDO,NARIÑO,25649.0,34.8,46.01,10.71,67.64,46.0,5.45,10.83,63.24,8316.0,43.0025529440005,56.9974470559995,48.85514031664233,51.14485968335767,0,-2.29,Oposición,Reñido (<5%),Bajo
SAN LORENZO,NARIÑO,52687.0,55.3,87.38,16.29,57.47,23.54,46.48,17.13,63.97,17980.0,49.468162587822604,50.531837412177396,55.379573011813996,44.620426988186004,1,10.76,Cepeda,Moderado (5-15%),Muy alto
SAN PEDRO DE CARTAGO,NARIÑO,52694.0,54.6,87.21,0.0,31.01,12.64,8.93,23.58,63.82,6262.0,49.37422390387322,50.62577609612678,54.12249870303933,45.87750129696067,1,8.24,Cepeda,Moderado (5-15%),Alto
SAN PABLO,NARIÑO,13670.0,54.0,18.85,91.6,75.14,50.89,32.87,59.56,55.81,28837.0,42.33093217141996,57.66906782858004,47.89782419645771,52.10217580354229,0,-4.2,Oposición,Reñido (<5%),Alto
SAPUYES,NARIÑO,52720.0,43.0,79.7,13.83,89.48,42.99,40.0,19.95,65.2,6885.0,47.33851610335643,52.66148389664357,53.99876328161429,46.00123671838571,0,8.0,Oposición,Moderado (5-15%),Medio
TAMINANGO,NARIÑO,52786.0,36.1,76.59,22.35,78.83,45.7,12.66,16.69,65.49,18504.0,46.26614857424412,53.73385142575588,52.34319435260291,47.65680564739709,1,4.69,Cepeda,Reñido (<5%),Bajo
TANGUA,NARIÑO,52788.0,46.0,78.2,15.01,87.9,31.99,19.99,21.98,67.73,15211.0,47.51363558015782,52.48636441984218,53.89088548576398,46.10911451423602,1,7.78,Cepeda,Moderado (5-15%),Alto
TUQUERRES,NARIÑO,52838.0,32.5,59.98,13.45,77.46,48.78,7.19,20.23,68.09,50281.0,44.1768585245281,55.8231414754719,50.42285648962063,49.57714351037937,1,0.85,Cepeda,Reñido (<5%),Bajo
YACUANQUER,NARIÑO,52885.0,44.2,68.45,18.26,84.7,43.96,16.53,17.28,54.91,12613.0,46.321496424443424,53.678503575556576,51.89519420263902,48.10480579736098,0,3.79,Oposición,Reñido (<5%),Medio
PEREIRA,RISARALDA,66001.0,15.1,13.28,23.49,98.46,93.4,4.91,10.11,79.29,465968.0,37.506373275728,62.493626724272,44.86033528859122,55.13966471140878,0,-10.28,Oposición,Moderado (5-15%),Muy bajo
APIA,RISARALDA,66045.0,33.6,48.21,24.13,81.99,71.49,6.14,12.36,68.01,11148.0,43.09582045388217,56.90417954611783,49.114214092742586,50.885785907257414,0,-1.77,Oposición,Reñido (<5%),Bajo
BALBOA,RISARALDA,19075.0,47.1,76.78,87.24,46.56,28.98,27.6,17.27,69.85,24241.0,47.48904336028254,52.51095663971746,53.265756364886876,46.734243635113124,1,6.53,Cepeda,Moderado (5-15%),Alto
BELEN DE UMBRIA,RISARALDA,66088.0,35.6,41.81,19.89,84.78,71.75,7.34,18.91,69.38,22381.0,42.66137763221725,57.33862236778275,48.792919885482775,51.207080114517225,0,-2.41,Oposición,Reñido (<5%),Bajo
DOSQUEBRADAS,RISARALDA,66170.0,13.7,3.36,21.52,96.91,96.1,4.11,7.84,73.59,282285.0,36.34064554547342,63.65935445452658,43.47854937427948,56.52145062572052,0,-13.04,Oposición,Moderado (5-15%),Muy bajo
GUATICA,RISARALDA,66318.0,36.5,62.53,8.12,82.2,56.37,9.4,11.39,70.72,10743.0,44.87477904635086,55.12522095364914,51.141020197609464,48.858979802390536,1,2.28,Cepeda,Reñido (<5%),Medio
LA CELIA,RISARALDA,66383.0,37.5,53.95,132.38,67.32,53.07,7.57,15.15,58.15,6706.0,44.10840993724342,55.89159006275658,49.39534147485232,50.60465852514768,1,-1.21,Cepeda,Reñido (<5%),Medio
LA VIRGINIA,RISARALDA,66400.0,19.0,1.8,35.13,99.36,99.44,6.41,10.4,72.11,26705.0,36.7612818363578,63.2387181636422,43.72724423258802,56.27275576741198,0,-12.55,Oposición,Moderado (5-15%),Muy bajo
MARSELLA,RISARALDA,66440.0,33.3,40.84,35.28,79.25,64.14,6.96,28.26,70.41,15370.0,42.31072659337158,57.68927340662842,48.55060868600035,51.44939131399965,0,-2.9,Oposición,Reñido (<5%),Bajo
MISTRATO,RISARALDA,66456.0,65.3,70.22,39.87,55.99,39.35,8.92,50.62,67.9,17538.0,48.810697892583654,51.189302107416346,53.53685332904227,46.46314667095773,1,7.07,Cepeda,Moderado (5-15%),Muy alto
PUEBLO RICO,RISARALDA,66572.0,70.5,76.39,5.98,35.92,31.72,7.89,65.99,67.98,17447.0,50.00941031046534,49.99058968953466,54.21863470954531,45.78136529045469,1,8.44,Cepeda,Moderado (5-15%),Muy alto
QUINCHIA,RISARALDA,66594.0,41.4,66.05,25.23,84.27,42.68,9.04,19.04,70.0,23996.0,45.77017774049851,54.22982225950149,52.020362803700564,47.979637196299436,1,4.04,Cepeda,Reñido (<5%),Medio
SANTA ROSA DE CABAL,RISARALDA,66682.0,21.2,13.12,12.38,92.91,88.62,6.46,14.92,75.33,85864.0,38.157437806936926,61.842562193063074,45.16400058312666,54.83599941687334,0,-9.67,Oposición,Moderado (5-15%),Muy bajo
SANTUARIO,RISARALDA,66687.0,39.9,41.98,23.72,78.98,65.69,6.36,13.85,68.64,11467.0,43.1491894015058,56.8508105984942,49.05085306705601,50.94914693294399,0,-1.9,Oposición,Reñido (<5%),Medio
CUCUTA,NORTE DE SAN,54001.0,25.7,4.44,31.82,94.79,92.67,13.32,23.68,76.07,752748.0,37.76379365784382,62.23620634215618,44.71266229291556,55.28733770708444,0,-10.57,Oposición,Moderado (5-15%),Muy bajo
ABREGO,NORTE DE SAN,54003.0,55.8,46.32,37.6,63.24,54.01,15.55,40.39,64.35,39959.0,45.331788281304,54.668211718696,50.46108576906294,49.53891423093706,1,0.92,Cepeda,Reñido (<5%),Muy alto
ARBOLEDAS,NORTE DE SAN,54051.0,53.5,74.8,19.62,49.04,28.57,7.95,37.31,62.22,10364.0,47.987159494168026,52.012840505831974,52.851446586355806,47.148553413644194,1,5.7,Cepeda,Moderado (5-15%),Alto
BOCHALEMA,NORTE DE SAN,54099.0,36.3,61.88,22.19,76.71,71.85,10.23,19.41,65.63,10909.0,44.78655036740681,55.21344963259319,50.476626872699406,49.523373127300594,0,0.95,Oposición,Reñido (<5%),Bajo
BUCARASICA,NORTE DE SAN,54109.0,67.9,89.45,44.52,38.21,14.37,19.95,38.25,59.64,8897.0,51.058007556663824,48.941992443336176,55.433835784055965,44.566164215944035,1,10.87,Cepeda,Moderado (5-15%),Muy alto
CACOTA,NORTE DE SAN,54125.0,48.9,63.92,101.56,40.49,33.97,17.17,27.22,58.01,3248.0,46.37333317436173,53.62666682563827,51.16116102026842,48.83883897973158,1,2.32,Cepeda,Reñido (<5%),Alto
CACHIRA,NORTE DE SAN,54128.0,56.4,80.84,43.82,33.31,30.84,7.88,28.33,60.68,11761.0,48.9209614060202,51.0790385939798,53.207848190566565,46.792151809433435,1,6.42,Cepeda,Moderado (5-15%),Muy alto
CONVENCION,NORTE DE SAN,54206.0,64.0,58.83,64.94,48.24,40.41,20.17,38.8,66.61,23040.0,47.50586514893798,52.49413485106202,52.358299840450094,47.641700159549906,1,4.72,Cepeda,Reñido (<5%),Muy alto
CUCUTILLA,NORTE DE SAN,54223.0,71.1,79.36,11.58,21.13,17.21,16.17,40.41,62.63,7515.0,50.378209851431414,49.621790148568586,54.41405426261597,45.58594573738403,1,8.83,Cepeda,Moderado (5-15%),Muy alto
CHINACOTA,NORTE DE SAN,54172.0,30.3,34.86,15.61,81.14,67.04,11.09,22.3,73.19,24117.0,41.372108086254784,58.627891913745216,47.9974798300303,52.0025201699697,0,-4.01,Oposición,Reñido (<5%),Bajo
CHITAGA,NORTE DE SAN,54174.0,54.8,60.82,15.92,62.15,48.98,19.08,39.89,65.78,14667.0,46.702424002639674,53.297575997360326,51.98995842459058,48.01004157540942,1,3.98,Cepeda,Reñido (<5%),Alto
DURANIA,NORTE DE SAN,54239.0,44.5,49.45,0.0,55.1,51.59,20.44,25.64,62.28,5221.0,44.4149499869036,55.5850500130964,49.84896479154101,50.15103520845899,0,-0.3,Oposición,Reñido (<5%),Alto
EL TARRA,NORTE DE SAN,54250.0,71.2,54.51,40.28,54.78,34.39,39.09,58.31,67.01,38150.0,47.8526600079903,52.1473399920097,53.136630405150676,46.863369594849324,1,6.27,Cepeda,Moderado (5-15%),Muy alto
EL CARMEN,NORTE DE SAN,54245.0,68.9,81.86,41.93,42.61,38.62,15.76,55.68,63.74,15961.0,50.39268978980401,49.60731021019599,54.60058645391054,45.39941354608946,1,9.2,Cepeda,Moderado (5-15%),Muy alto
