cod_mpio,nombre_mpio,cobertura_acueducto,cobertura_alcantarillado,pobreza_extrema,desempeno_fiscal,pct_rural,tasa_homicidios,nbi_rural,nbi_urbano,ipm,poblacion_total
52621,Roberto Payán,8.71,10.08,6.91,61.98,71.87,55.08,39.78,60.88,81.0,13267.0
52678,Samaniego,72.96,34.35,6.91,69.06,64.35,108.05,32.64,11.91,47.7,27758.0
52683,Sandoná,97.84,60.13,6.91,64.33,47.19,30.32,15.46,12.95,28.9,19701.0
52685,San Bernardo,58.55,40.79,6.91,62.01,70.47,21.79,20.45,16.58,59.4,8670.0
52687,San Lorenzo,57.47,23.54,6.91,63.97,87.38,16.29,17.13,46.48,55.3,17980.0
52693,San Pablo,42.44,36.57,6.91,62.15,72.1,13.51,13.34,5.63,41.1,14485.0
52694,San Pedro de Cartago,31.01,12.64,6.91,63.82,87.21,0.0,23.58,8.93,54.6,6262.0
52696,Santa Bárbara,4.73,1.1,6.91,65.62,71.63,37.73,64.98,91.47,75.1,15455.0
52699,Santacruz,48.97,17.23,6.91,64.58,85.49,27.06,42.73,30.3,65.1,10019.0
52720,Sapuyes,89.48,42.99,6.91,65.2,79.7,13.83,19.95,40.0,43.0,6885.0
52786,Taminango,78.83,45.7,6.91,65.49,76.59,22.35,16.69,12.66,36.1,18504.0
52788,Tangua,87.9,31.99,6.91,67.73,78.2,15.01,21.98,19.99,46.0,15211.0
52835,San Andrés de Tumaco,31.72,5.46,6.91,66.74,64.61,76.56,38.75,18.13,53.7,299073.0
52838,Túquerres,77.46,48.78,6.91,68.09,59.98,13.45,20.23,7.19,32.5,50281.0
52885,Yacuanquer,84.7,43.96,6.91,54.91,68.45,18.26,17.28,16.53,44.2,12613.0
54000,Norte de Santander,83.24,79.28,13.13,75.9,22.57,37.5,37.01,13.28,33.97,1773870.0
54001,Cúcuta,94.79,92.67,6.63,76.07,4.44,31.82,23.68,13.32,25.7,752748.0
54003,Ábrego,63.24,54.01,6.91,64.35,46.32,37.6,40.39,15.55,55.8,39959.0
54051,Arboledas,49.04,28.57,6.91,62.22,74.8,19.62,37.31,7.95,53.5,10364.0
54099,Bochalema,76.71,71.85,6.91,65.63,61.88,22.19,19.41,10.23,36.3,10909.0
54109,Bucarasica,38.21,14.37,6.91,59.64,89.45,44.52,38.25,19.95,67.9,8897.0
54125,Cácota,40.49,33.97,6.91,58.01,63.92,101.56,27.22,17.17,48.9,3248.0
54128,Cachirá,33.31,30.84,6.91,60.68,80.84,43.82,28.33,7.88,56.4,11761.0
54172,Chinácota,81.14,67.04,6.91,73.19,34.86,15.61,22.3,11.09,30.3,24117.0
54174,Chitagá,62.15,48.98,6.91,65.78,60.82,15.92,39.89,19.08,54.8,14667.0
54206,Convención,48.24,40.41,6.91,66.61,58.83,64.94,38.8,20.17,64.0,23040.0
54223,Cucutilla,21.13,17.21,6.91,62.63,79.36,11.58,40.41,16.17,71.1,7515.0
54239,Durania,55.1,51.59,6.91,62.28,49.45,0.0,25.64,20.44,44.5,5221.0
54245,El Carmen,42.61,38.62,6.91,63.74,81.86,41.93,55.68,15.76,68.9,15961.0
54250,El Tarra,54.78,34.39,6.91,67.01,54.51,40.28,58.31,39.09,71.2,38150.0
54261,El Zulia,84.61,68.11,6.91,75.24,43.3,43.4,31.79,16.67,41.9,34642.0
54313,Gramalote,56.08,43.13,6.91,58.36,64.75,12.82,18.81,2.41,42.3,9668.0
54344,Hacarí,24.78,14.37,6.91,61.66,83.89,27.91,45.93,16.53,73.4,9791.0
54347,Herrán,29.62,28.38,6.91,57.04,80.13,13.47,33.06,9.32,52.4,10422.0
54377,Labateca,73.52,31.45,6.91,77.13,72.24,29.86,18.78,9.48,41.3,7200.0
54385,La Esperanza,52.63,44.35,6.91,68.58,82.99,15.86,33.2,14.53,57.1,12165.0
54398,La Playa,29.78,23.28,6.91,64.5,86.66,24.52,26.17,6.76,67.9,9159.0
54405,Los Patios,95.79,93.68,6.91,78.02,2.64,7.06,15.03,9.6,21.4,111569.0
54418,Lourdes,69.93,56.09,6.91,61.76,50.92,23.42,26.72,15.33,45.3,5104.0
54480,Mutiscua,46.96,28.39,6.91,56.99,79.55,43.54,15.8,6.97,42.2,4699.0
54498,Ocaña,92.33,87.34,6.91,69.02,9.85,33.39,23.49,11.22,31.4,158872.0
54518,Pamplona,91.97,91.82,6.91,72.12,6.74,1.82,30.4,6.52,20.5,48148.0
54520,Pamplonita,48.46,32.52,6.91,63.76,77.13,0.0,17.66,8.75,41.7,6782.0
54553,Puerto Santander,90.07,89.09,6.91,64.32,7.49,63.57,15.23,17.81,42.9,9489.0
54599,Ragonvalia,55.09,50.36,6.91,60.75,50.27,77.41,23.14,15.33,41.4,7384.0
