MUNNOMBRE,DEPNOMBRE,cod_mpio,ipm,pct_rural,tasa_homicidios,cobertura_acueducto,cobertura_alcantarillado,nbi_urbano,nbi_rural,desempeno_fiscal,poblacion_total,factor_izq,pct_cepeda_v1,pct_oposicion_v1,gana_cepeda_pred,pct_cepeda_v2_pred,pct_oposicion_v2_pred,margen_pred
CARTAGENA,BOLIVAR,13001.0,19.9,12.12,35.83,93.67,86.83,11.49,20.52,75.34,974086.0,0.17071781452322404,37.91313379657695,62.08686620342305,0,44.96826115950595,55.03173884049405,-10.06
ACHI,BOLIVAR,13006.0,62.4,78.66,3.92,69.71,0.8,34.33,62.35,60.48,33856.0,0.7428060972534574,49.354899451181616,50.645100548818384,1,55.188570846737406,44.811429153262594,10.38
ARENAL,BOLIVAR,13042.0,62.0,42.55,37.62,76.01,34.47,26.49,50.6,63.23,9869.0,0.5563268039226941,45.62531358456635,54.37468641543365,1,51.290641625171936,48.709358374828064,2.58
ALTOS DEL ROSARIO,BOLIVAR,13030.0,70.7,67.54,16.83,45.56,3.49,48.66,65.15,41.0,9129.0,0.7314588442985606,49.12795439208368,50.87204560791632,1,53.59149378542867,46.40850621457133,7.18
ARJONA,BOLIVAR,13052.0,47.4,22.99,17.19,75.45,8.0,27.23,24.75,66.2,76323.0,0.37663161745803037,42.031409855273075,57.968590144726925,0,48.91370718202632,51.08629281797368,-2.17
ARROYO HONDO,BOLIVAR,13062.0,68.4,42.33,11.19,62.84,14.57,51.72,27.27,53.16,7555.0,0.590214952150091,46.30307654911429,53.69692345088571,0,51.895795643094885,48.104204356905115,3.79
BARRANCO DE LOBA,BOLIVAR,13074.0,68.9,64.16,19.27,45.92,4.1,32.07,56.37,56.39,19600.0,0.7043618385389714,48.586014276891895,51.413985723108105,1,53.51582935999397,46.48417064000603,7.03
CALAMAR,BOLIVAR,13140.0,62.5,41.74,21.11,52.12,1.04,35.78,47.0,65.36,26980.0,0.5549281151355001,45.59733980882247,54.40266019117753,1,51.59145965067964,48.40854034932036,3.18
CANTAGALLO,BOLIVAR,13160.0,50.6,44.82,78.49,56.99,43.61,17.74,64.44,70.79,9037.0,0.5055487445471295,44.60975239705506,55.39024760294494,1,50.2617201436217,49.7382798563783,0.52
CICUCO,BOLIVAR,13188.0,61.3,34.21,13.64,92.42,1.65,33.47,32.99,66.79,20187.0,0.5099334320402196,44.69744614691686,55.30255385308314,1,51.622480940236045,48.377519059763955,3.24
CORDOBA,BOLIVAR,13212.0,61.9,79.99,5.92,78.89,1.65,51.04,21.46,61.97,21721.0,0.7468586596754376,49.43595069962122,50.56404930037878,1,55.930208558387264,44.069791441612736,11.86
CLEMENCIA,BOLIVAR,13222.0,63.0,17.6,18.93,13.23,0.94,88.75,62.83,66.62,18365.0,0.43446236500299623,43.18802480617239,56.81197519382761,1,49.75889685209512,50.24110314790488,-0.48
EL CARMEN DE BOLIVAR,BOLIVAR,13244.0,58.4,26.2,44.33,72.57,3.54,33.26,65.01,69.33,79762.0,0.45318923825428625,43.562562271198196,56.437437728801804,1,50.26606885686752,49.73393114313248,0.53
EL GUAMO,BOLIVAR,13248.0,59.5,45.36,0.0,72.12,0.37,33.67,23.3,48.71,10655.0,0.5569917799603281,45.63861310531903,54.36138689468097,0,51.32094562311896,48.67905437688104,2.64
HATILLO DE LOBA,BOLIVAR,13300.0,73.8,74.96,29.97,84.77,21.53,40.52,53.92,59.93,13452.0,0.7862860041333601,50.22449758877967,49.77550241122033,1,55.77894778800492,44.22105221199508,11.56
